output_dir,photo,model,ridge_alpha,white_balance_method,correction_strength_used_in_report,alpha,target_mean_deltaE,target_median_deltaE,target_max_deltaE,target_p95_deltaE,harm_count,harm_rate,classification_acc
output_strong_alpha05,qiangguang.jpg,root_poly2,1e-06,none,0.5,0.5,2.3295105025319276,2.265886174317316,5.344057908196411,4.235839024272345,1,0.08333333333333333,1.0
output_strong_alpha05,qiangguang.jpg,root_poly2,1e-06,none,0.5,0.25,2.6994530850805147,2.54216193240603,6.008250109334236,4.651300077343085,0,0.0,1.0
output_strong_alpha05,qiangguang.jpg,root_poly2,1e-06,none,0.5,0.75,3.070395176906749,2.9607352271715284,5.170605696570668,4.554275722329738,2,0.16666666666666666,0.9166666666666666
output_strong_alpha05,qiangguang.jpg,root_poly2,1e-06,none,0.5,0.0,3.739852520578589,3.452068206364991,6.943056871297302,5.704325440671604,0,0.0,0.8333333333333334
output_strong_alpha05,qiangguang.jpg,root_poly2,1e-06,none,0.5,1.0,4.4115272010546,4.285794884041666,5.729848233168918,5.691322695895919,8,0.6666666666666666,0.8333333333333334
output_strong_base,qiangguang.jpg,root_poly2,1e-06,none,1.0,0.5,2.1749566235879505,1.9225895842774907,3.9920069144914874,3.5737613522227027,1,0.08333333333333333,1.0
output_strong_base,qiangguang.jpg,root_poly2,1e-06,none,1.0,0.25,2.507967159882276,2.452765935454374,3.8004728669039345,3.6163763976005416,0,0.0,1.0
output_strong_base,qiangguang.jpg,root_poly2,1e-06,none,1.0,0.75,2.822292633715836,2.7927002714852662,4.631717976125729,4.241179670713311,3,0.25,0.8333333333333334
output_strong_base,qiangguang.jpg,root_poly2,1e-06,none,1.0,0.0,3.4996664050162614,3.6185005759412325,4.688936649057044,4.56390154348361,0,0.0,0.9166666666666666
output_strong_base,qiangguang.jpg,root_poly2,1e-06,none,1.0,1.0,4.133029110670673,4.165683628115263,5.631684974850587,5.594311714588964,8,0.6666666666666666,0.8333333333333334
output_strong_chart_gray,qiangguang.jpg,root_poly2,1e-06,chart_gray,1.0,0.5,2.0882095835620547,2.0628155480860473,3.473248178782665,3.4381709249576584,1,0.08333333333333333,1.0
output_strong_chart_gray,qiangguang.jpg,root_poly2,1e-06,chart_gray,1.0,0.25,2.4930650906264424,2.5308658862785127,4.213831322513463,3.8771571957136817,0,0.0,1.0
output_strong_chart_gray,qiangguang.jpg,root_poly2,1e-06,chart_gray,1.0,0.75,2.7345505568800053,2.4951472388090687,3.995461318761485,3.9645861638506963,2,0.16666666666666666,0.9166666666666666
output_strong_chart_gray,qiangguang.jpg,root_poly2,1e-06,chart_gray,1.0,0.0,3.5578964649677207,3.729604955267331,5.2397455310464585,4.900175264796211,0,0.0,0.8333333333333334
output_strong_chart_gray,qiangguang.jpg,root_poly2,1e-06,chart_gray,1.0,1.0,4.040121805446563,3.9579019251799217,5.656677849583546,5.450755476503826,6,0.5,0.9166666666666666
output_strong_gray_world,qiangguang.jpg,root_poly2,1e-06,gray_world,1.0,0.5,2.258437321706818,2.448312785390697,3.633328198545936,3.2351396698940604,2,0.16666666666666666,1.0
output_strong_gray_world,qiangguang.jpg,root_poly2,1e-06,gray_world,1.0,0.25,2.4833218372338277,2.6141769360223486,4.129118271272579,3.8336237618170568,1,0.08333333333333333,0.9166666666666666
output_strong_gray_world,qiangguang.jpg,root_poly2,1e-06,gray_world,1.0,0.75,2.9204865479235793,3.3037205523407582,4.19534438451189,4.104092006545128,3,0.25,0.9166666666666666
output_strong_gray_world,qiangguang.jpg,root_poly2,1e-06,gray_world,1.0,0.0,3.4810502846096862,3.7857572118799103,4.9486123042931425,4.7761348830993855,0,0.0,0.8333333333333334
output_strong_gray_world,qiangguang.jpg,root_poly2,1e-06,gray_world,1.0,1.0,4.2269469690700445,4.463385081275853,6.432033377421575,5.931264356022727,6,0.5,0.9166666666666666
output_strong_wb_alpha05,qiangguang.jpg,root_poly2,1e-06,chart_gray,0.5,0.5,2.1695674272245973,2.345672337128773,3.316002145221384,3.1011565633902807,2,0.16666666666666666,1.0
output_strong_wb_alpha05,qiangguang.jpg,root_poly2,1e-06,chart_gray,0.5,0.25,2.3736101920028747,2.236679159322631,3.562915743772427,3.543569284562181,0,0.0,1.0
output_strong_wb_alpha05,qiangguang.jpg,root_poly2,1e-06,chart_gray,0.5,0.75,2.9335330872382053,3.1200519959048725,4.067735943938175,3.9591217424401224,3,0.25,0.9166666666666666
output_strong_wb_alpha05,qiangguang.jpg,root_poly2,1e-06,chart_gray,0.5,0.0,3.382989712818203,3.234821256404648,4.932100092906812,4.738914942421262,0,0.0,0.8333333333333334
output_strong_wb_alpha05,qiangguang.jpg,root_poly2,1e-06,chart_gray,0.5,1.0,4.306440413329755,4.280840951378346,5.679393550071786,5.590734688344355,8,0.6666666666666666,0.9166666666666666
