rank,code,name,deltaE_match,visual_display_L,visual_display_a,visual_display_b,visual_crop_path,machine_L,machine_a,machine_b,standard_L,standard_a,standard_b
1,W111,沙黄色,2.043834933061224,80.91639955518546,0.8272882749115751,20.894267196890336,output_128/glue_visual_library/visual_crops/W111_沙黄色.png,75.8,1.6,21.42,75.8,1.6,21.42
2,W108,棕米黄,2.4063054280009637,78.86342707733726,-0.007394546605477004,21.33216261355546,output_128/glue_visual_library/visual_crops/W108_棕米黄.png,76.75,0.93,22.21,76.75,0.93,22.21
3,W097,象牙白,2.7643610631420965,85.22074473971495,-2.4037783615079578,20.226755787634907,output_128/glue_visual_library/visual_crops/W097_象牙白.png,87.44,-1.69,20.47,87.44,-1.69,20.47
4,W109,米黄,3.077131525530114,86.2937369777445,-1.8485193322348437,20.32347543840092,output_128/glue_visual_library/visual_crops/W109_米黄.png,78.87,-0.71,19.95,78.87,-0.71,19.95
5,W105,淡象牙黄,3.244287739085794,86.1966831803586,-1.0721308877463254,25.327703552865422,output_128/glue_visual_library/visual_crops/W105_淡象牙黄.png,85.85,-0.86,25.87,85.85,-0.86,25.87
6,W104,金沙黄,3.4545737271486905,77.74095575776242,-1.67732909630125,18.948365395270027,output_128/glue_visual_library/visual_crops/W104_金沙黄.png,81.77,-1.1,20.44,81.77,-1.1,20.44
7,W110,象牙黄,3.6201876148141454,84.45803044177042,0.8755649125036236,27.592878906713626,output_128/glue_visual_library/visual_crops/W110_象牙黄.png,81.06,1.66,28.57,81.06,1.66,28.57
8,W106,浅象牙黄,4.610783527307275,87.33241860760857,-1.9918168863899965,16.774891723028574,output_128/glue_visual_library/visual_crops/W106_浅象牙黄.png,88.61,-0.94,18.01,88.61,-0.94,18.01
9,W103,浅米白,4.618190389815357,83.07122953876193,-0.36091574219010436,13.612236394645771,output_128/glue_visual_library/visual_crops/W103_浅米白.png,89.39,-0.3,15.06,89.39,-0.3,15.06
10,W107,淡米黄,4.893603342647828,86.50563472890808,-3.437171457988497,17.118481980683796,output_128/glue_visual_library/visual_crops/W107_淡米黄.png,81.03,-2.59,17.51,81.03,-2.59,17.51
