编号,名称,LAB
1,白色,"95.55, -0.92, 1.03"
2,哑光白,"95.24, -1.68, 1.47"
3,灰白,"88.29, -2.13, 5.06"
4,菱花白,"94.18, -1.36, 3.15"
5,奶油白,"92.25, -2.25, 8.91"
6,混凝土灰,"73.23, -0.87, 2.51"
7,米白,"89.25, -0.4, 8.26"
8,茉莉花白,"87.58, -0.4, 7.39"
9,哑光黑,"23.03, -1.01, -6.18"
10,土黄色,"74.39, 1.11, 7.56"
11,雾灰,"61.35, -1.04, -2.73"
12,浅灰,"75.05, -3.38, 2.98"
13,煤灰,"39.14, -1.82, -4.63"
14,深灰,"59.19, -1.08, -1.32"
15,银灰色,"72.31, -1.22, -2.32"
16,岩灰,"45.26, -2.25, -2.25"
17,云沙黄,"82.67, -0.83, 12.2"
18,黑灰,"31.64, -2.1, -3.51"
19,玫瑰金,"45.5, 7.3, 8.85"
20,胡桃色,"32.08, 2.17, 2.61"
